variant,n_window,DA,BAcc,MCC,F1,seed
full,155,0.5915332869990102,0.5616666666666666,0.1908439611231124,0.4995318063429518,777
no_gate,155,0.6024476316842526,0.4997619047619047,-0.0356041899463284,0.3155555555555556,2024
no_crossattention,155,0.5364249278658832,0.5040476190476191,-0.0489664128702499,0.2507246376811594,2024
no_text,155,0.5873369979570776,0.4985714285714285,0.006211028900943,0.4858751902587519,42
